index: 1,  smile: C, fitness: 0.0, logP: 0.0, sas: 0.0, ringP: 0.0, discrm: [0.]
index: 2,  smile: C#CC=CC=CC, fitness: 0.4798397123813629, logP: 0.4798397123813629, sas: 0.4798397123813629, ringP: 0.4798397123813629, discrm: [0.4798397]
index: 3,  smile: C#CCC#CC=CC=CCC=CC, fitness: 0.4739973545074463, logP: 0.4739973545074463, sas: 0.4739973545074463, ringP: 0.4739973545074463, discrm: [0.47399735]
index: 4,  smile: C=CC=CCC=CC=CC#CC=CC=CC#CCC, fitness: 0.4692199230194092, logP: 0.4692199230194092, sas: 0.4692199230194092, ringP: 0.4692199230194092, discrm: [0.46921992]
index: 5,  smile: C=CC=CCC=CC=CC=CC=CC=CC#CC=CC=CC#CCC, fitness: 0.5116240382194519, logP: 0.5116240382194519, sas: 0.5116240382194519, ringP: 0.5116240382194519, discrm: [0.51162404]
index: 6,  smile: C=CC=CCC=CCC=CC=CC#CC=CC=CC=CC#CC=CC=CC#CCC, fitness: 0.5754233002662659, logP: 0.5754233002662659, sas: 0.5754233002662659, ringP: 0.5754233002662659, discrm: [0.5754233]
index: 7,  smile: CC=CC=CC#CCCC=CC=CC#CCC=CC#CC=CC=CC#CCC#CCS, fitness: 0.5904897451400757, logP: 0.5904897451400757, sas: 0.5904897451400757, ringP: 0.5904897451400757, discrm: [0.59048975]
index: 8,  smile: C#CC=CC=CC=CC=CC=CC=CC=CC=CC1C=C1, fitness: 0.6211938858032227, logP: 0.6211938858032227, sas: 0.6211938858032227, ringP: 0.6211938858032227, discrm: [0.6211939]
index: 9,  smile: C#COC=CCC#CCC#CC=CC=CC#CC=CC=CC=CCC=CC=CC=CC#CNC=CC=CC, fitness: 0.5896482467651367, logP: 0.5896482467651367, sas: 0.5896482467651367, ringP: 0.5896482467651367, discrm: [0.58964825]
index: 10,  smile: C#CC#CC=CC=COC=CCC#CCC#CC=CC=CC#CC=CC=CC=CCC=CC=CC=CC#CNC=CC=CC, fitness: 0.48502716422080994, logP: 0.48502716422080994, sas: 0.48502716422080994, ringP: 0.48502716422080994, discrm: [0.48502716]
index: 11,  smile: C=CC=CC, fitness: 0.4156341552734375, logP: 0.4156341552734375, sas: 0.4156341552734375, ringP: 0.4156341552734375, discrm: [0.41563416]
index: 12,  smile: C=CC=CC, fitness: 0.39886441826820374, logP: 0.39886441826820374, sas: 0.39886441826820374, ringP: 0.39886441826820374, discrm: [0.39886442]
